Incident ID,Stolen,Type,index
946160, Unknown, Unknown,0.0
950568, Unknown, Unknown,0.0
946162, Unknown, 22 LR,0.0
945681, Unknown, Unknown,0.0
944278, Unknown, Unknown,0.0
942292, Unknown, Handgun,0.0
941467, Unknown, Unknown,0.0
940191, Unknown, 223 Rem [AR-15],0.0
939254, Unknown, Unknown,0.0
939451, Unknown, Unknown,0.0
939151, Unknown, Unknown,0.0
936776, Unknown, Unknown,0.0
933616, Unknown, Unknown,0.0
933183, Unknown, Unknown,0.0
938221, Unknown, Unknown,0.0
930433, Unknown, Unknown,0.0
928127, Unknown, Unknown,0.0
926101, Unknown, Unknown,0.0
925955, Unknown, Unknown,0.0
924438, Unknown, Unknown,0.0
922726, Unknown, 45 Auto,0.0
922006, Unknown, Unknown,0.0
922538, Unknown, Unknown,0.0
920768, Unknown, Unknown,0.0
920513, Unknown, Unknown,0.0
919715, Unknown, Unknown,0.0
917373, Stolen, 9mm,0.0
916934, Unknown, Unknown,0.0
917003, Unknown, Unknown,0.0
916765, Unknown, Unknown,0.0
916099, Unknown, 38 Spl,0.0
915868, Unknown, Unknown,0.0
914367, Unknown, Unknown,0.0
913981, Unknown, Unknown,0.0
912711, Unknown, Unknown,0.0
909511, Unknown, 9mm,0.0
908571, Unknown, Unknown,0.0
907522, Unknown, Unknown,0.0
907301, Unknown, Unknown,0.0
906890, Unknown, Handgun,0.0
906573, Unknown, 38 Spl,0.0
903654, Unknown, Unknown,0.0
903883, Unknown, Shotgun,0.0
902444, Unknown, 9mm,0.0
902866, Unknown, 9mm,0.0
901949, Unknown, Unknown,0.0
1556973, Unknown, Unknown,0.0
1555325, Unknown, Unknown,0.0
1555035, Unknown, Unknown,0.0
1555624, Unknown, Unknown,0.0
1551772, Unknown, Unknown,0.0
1550299, Unknown, 9mm,0.0
1549242, Unknown, Unknown,0.0
1547583, Unknown, Unknown,0.0
1548243, Unknown, Unknown,0.0
1545663, Unknown, Unknown,0.0
1546508, Unknown, Unknown,0.0
1545714, Unknown, Unknown,0.0
1543754, Unknown, Unknown,0.0
1542930, Unknown, Unknown,0.0
1543145, Unknown, Unknown,0.0
1541084, Unknown, Unknown,0.0
1539816, Unknown, Unknown,0.0
1540095, Unknown, Unknown,0.0
1539036, Unknown, Unknown,0.0
1539306, Unknown, Unknown,0.0
1536509, Unknown, Unknown,0.0
1537145, Unknown, Unknown,0.0
1534539, Unknown, Unknown,0.0
1533783, Unknown, Unknown,0.0
1531809, Unknown, Unknown,0.0
1531181, Unknown, Unknown,0.0
1531397, Unknown, 45 Auto,0.0
1537873, Unknown, Unknown,0.0
1530524, Unknown, Unknown,0.0
1530780, Unknown, Unknown,0.0
1530251, Unknown, Unknown,0.0
1528833, Unknown, Unknown,0.0
1529370, Unknown, Handgun,0.0
1527575, Unknown, 380 Auto,0.0
1527691, Unknown, Unknown,0.0
1526380, Unknown, Unknown,0.0
1525361, Unknown, Unknown,0.0
1532667, Unknown, 22 LR,0.0
1524699, Unknown, Unknown,0.0
1523850, Unknown, Handgun,0.0
1524233, Unknown, Unknown,0.0
1522979, Unknown, Unknown,0.0
1523889, Unknown, Unknown,0.0
1521272, Unknown, Unknown,0.0
1523292, Unknown, Unknown,0.0
1521062, Unknown, Unknown,0.0
1521252, Unknown, Unknown,0.0
1519804, Unknown, Unknown,0.0
1519681, Unknown, Unknown,0.0
1519507, Unknown, Unknown,0.0
